node1,node2,tstart,tend,line
Amersham,Chalfont & Latimer,526,529,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,547,550,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,607,610,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,620,623,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,640,643,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,652,655,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,714,717,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,725,728,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,746,749,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,757,760,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,818,821,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,829,832,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,850,853,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,901,904,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,928,931,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,950,953,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,1017,1020,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,1047,1050,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,1117,1120,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,1147,1150,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,1217,1220,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,1247,1250,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,1317,1320,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,1347,1350,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,1417,1420,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,1447,1450,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,1517,1520,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,1547,1550,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,1617,1620,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,1647,1650,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,1714,1717,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,1745,1748,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,1807,1810,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,1822,1825,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,1838,1841,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,1848,1851,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,1856,1859,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,1916,1919,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,1930,1933,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,1947,1950,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,2018,2021,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,2047,2050,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,2055,2058,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,2119,2122,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,2147,2150,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,2217,2220,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,2247,2250,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,2317,2320,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,2347,2350,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,2422,2425,Metropolitan line to Chalfont & Latimer
Amersham,Chalfont & Latimer,2440,2443,Metropolitan line to Chalfont & Latimer
